component_id,display_name,slot,cost,modification_difficulty,effects,parameters,additional_costs,group,used_by_count,source,snapshot_commit
Suppressor,Suppressor,Muzzle,10,0,SilentShots;SilencerGroupingReduce30;RecoilDecrease;StealthKillBonusPerAim;SilencerHandlingReduce;SilencerJamChance;ReduceReliability,NoiseMultiplier=33;Recoil=1;RangeDecrease=8;ReliabilityDecrease=10;SilencerHandlingReduce=5;crit=25;stealth_kill_bonus=50,FineSteelPipe=2;Parts=50,Muzzle,40,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Suppressor_Anaconda,Suppressor,Muzzle,10,0,SilentShots;CritBonusSameTarget,crit=25,FineSteelPipe=1,Anaconda Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
SuppressorImproved,Улучшенный глушитель,Muzzle,10,10,SilentShots;RecoilDecrease;StealthKillBonusPerAim;ReduceReliability;SilencerGroupingReduce10,NoiseMultiplier=25;Recoil=2;RangeDecrease=5;ReliabilityDecrease=5;SilencerHandlingReduce=2;crit=25;stealth_kill_bonus=20,FineSteelPipe=5;Parts=250,Muzzle,24,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
SuppressorIntegrated,Глушитель Интегрированный,Muzzle,10,0,StealthKillBonusPerAim,stealth_kill_bonus=30,FineSteelPipe=1,Muzzle,6,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
TacGrip,Tactical Grip,Under,20,10,GripHandlingIncrease,accuracy=5,,Underslung,10,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
TacGrip_M14,Tactical Grip,Under,20,10,FreeWeaponSwap,accuracy=5,,M14 Specific,3,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
ThermalScope,Ночной прицел,Scope,100,10,IncreaseShotAP;IgnoreInTheDarkWhenFullyAimed;IgnoreLightOfSightWhenFullyAimed;ReduceAimAccuracy20Percent;ReduceAuto75Percent;ReduceBurst50Percent,ShotAP=2,Microchip=4;OpticalLens=4;FineSteelPipe=4,Scope,6,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Type56Bayo,Штык-нож,Under,30,0,zzStockEquipped,,FineSteelPipe=1,Type56,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Type56BayoF,Штык-нож,Under,30,0,zzStockEquipped,,FineSteelPipe=1,Type56,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
U100Handle,Рукоять удержания,Mountfront,0,0,,,,Default,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
UnfoldBipod,Разложенная сошка,Bipod,0,0,ShotsBeforeRecoilProne;AccuracyBonusProne,,,Default,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
UnfoldStocks,Разложенный приклад,Stock,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
UVDot,UV Dot,Side,10,10,MinAim,,Microchip=1,Side,42,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
UVDot_aa12,UV Dot,Side,10,10,MinAim,,Microchip=1,AA12 Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
UVDot_Anaconda,UV Dot,Scope,10,10,MinAim,,Microchip=1,Anaconda Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
UVDot_PSG_M1,UV Dot,Side,10,10,MinAim,,Microchip=1,PSG1-Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Val_VSS_wing1,Крепление для ВАЛ/ВСС,Side2,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Val_VSS_wing2,Крепление для ВАЛ/ВСС,Side3,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
VerticalGrip,Vertical Grip,Under,40,20,RecoilDecrease,Recoil=1,FineSteelPipe=1,Underslung,16,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
VerticalGrip_AUG,Vertical Grip,Under,40,20,FirstAimBonusModifier,,,AUG Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
VerticalGrip_Commando,Vertical Grip,Under,40,20,FirstAimBonusModifier,,,M4 Commando Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
VerticalGrip_M14,Vertical Grip,Under,40,20,RecoilDecrease,Recoil=1,FineSteelPipe=1,M14 Specific,3,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
VerticalGrip_M16,Vertical Grip,Under,40,20,RecoilDecrease,Recoil=1,FineSteelPipe=1,M16A2 Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
VerticalGripFld,Вертикальная рукоять (Сложенная),Under,40,20,,Recoil=1,FineSteelPipe=1,Underslung,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
VSSFlashLight,Мощный Фонарь,Side,0,0,,,,Underslung,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
